"id","code","name","name_cn","parent_id","enabled","dest"
1531,"91.060.50","Doors and windows","门窗",1501,1,"Including doorsets, their components, blinds, shutters 
Door and window hardware, see 91.190"
1532,"91.060.99","Other elements of buildings","建筑物的其他构件",1501,1,
1534,"91.080.01","Structures of buildings in general","建筑结构综合",1502,1,
1535,"91.080.10","Metal structures","金属结构",1502,1,
1536,"91.080.20","Timber structures","木结构",1502,1,
1537,"91.080.30","Masonry","砖石结构",1502,1,
1538,"91.080.40","Concrete structures","混凝土结构",1502,1,"Including the repair and protection of concrete products and structures"
1539,"91.080.99","Other structures","其他结构",1502,1,
1542,"91.100.01","Construction materials in general","建筑材料综合",1504,1,
1543,"91.100.10","Cement. Gypsum. Lime. Mortar","水泥、石膏、石灰、砂浆",1504,1,
1544,"91.100.15","Mineral materials and products ","矿物材料和产品",1504,1,
1545,"91.100.25","Terracotta building products","陶瓷建筑制品",1504,1,"Including roofing tiles, bricks, etc."
1546,"91.100.30","Concrete and concrete products","混凝土和混凝土制品",1504,1,"Including admixtures"
1547,"91.100.40","Products in fibre-reinforced cement","纤维增强水泥制品",1504,1,"Including admixtures"
1548,"91.100.50","Binders. Sealing materials","粘合料、密封材料",1504,1,"Including geomembranes, asphalts for buildings, etc."
1549,"91.100.60","Thermal and sound insulating materials","隔声和绝热材料",1504,1,
1550,"91.100.99","Other construction materials","其他建筑材料",1504,1,
1552,"91.120.01","Protection of and in buildings in general","建筑物的防护综合",1505,1,
1553,"91.120.10","Thermal insulation of buildings","绝热",1505,1,"Including energy efficiency of buildings 
Energy efficiency in general, see 27.015 
Thermal insulation in general, see 27.220 
Thermal insulating materials, see 91.100.60"
